Url, News_Title ,Author,Publish date,Category, Body Stracture , Stracture_Summary,Image of the news ,site
https://www.minnpost.com/ ,"Minnesota lawmakers look to reset ‘culture of what it is to be a transit rider’",None,None,None, body --> div --> main --> div --> aside --> section --> div --> ul --> li --> header,None,https://www.minnpost.com/wp-content/uploads/2022/04/EveningGreenLineThumb.png?resize=190%2C125&strip=all , https://www.minnpost.com/state-government/2023/02/minnesota-lawmakers-look-to-reset-culture-of-what-it-is-to-be-a-transit-rider/
https://www.minnpost.com/ , "How ‘Duck Dynasty’ and ZZ Top entered a Minnesota Senate debate on hair discrimination" ,None,None,None,body --> div --> main --> div --> aside --> section --> div --> ul --> li --> header ,None ,https://www.minnpost.com/wp-content/uploads/2023/02/WesenbergBeardThumb.png?resize=190%2C125&strip=all , https://www.minnpost.com/state-government/2023/02/how-duck-dynasty-and-zz-top-entered-a-minnesota-senate-debate-on-hair-discrimination/
https://www.minnpost.com/ , "Getting people to care about sickle cell when it’s considered ‘only a Black disease’",None,None,None,body --> div --> main --> div --> aside --> section --> div --> ul --> li --> header ,None,https://www.minnpost.com/wp-content/uploads/2023/02/MickeyBreezeThumb.png?resize=190%2C125&strip=all , https://www.minnpost.com/race-health-equity/2023/02/getting-people-to-care-about-sickle-cell-when-its-considered-only-a-black-disease/
https://www.minnpost.com/ , "Democrats wrestle with studying ‘advanced’ nuclear energy in wake of Minnesota carbon-free bill" ,None,None,None,body --> div --> main --> div --> aside --> section --> div --> ul --> li --> header,None,https://www.minnpost.com/wp-content/uploads/2023/02/NuclearPowerPlantsThumb.jpg?resize=190%2C125&strip=all , https://www.minnpost.com/environment/2023/02/democrats-wrestle-with-studying-advanced-nuclear-energy-in-wake-of-minnesota-carbon-free-bill/   
https://www.minnpost.com/ , "‘Equity is about money’: St. Paul Mayor Melvin Carter on the city’s guaranteed income experiments, home-buying assistance",None,None,None,body --> div --> main --> div --> aside --> section --> div --> ul --> li --> header ,None,https://www.minnpost.com/wp-content/uploads/2023/02/MelvinCarterOffice0223_Thumb.jpg?resize=190%2C125&strip=all , https://www.minnpost.com/metro/2023/02/equity-is-about-money-st-paul-mayor-melvin-carter-on-the-citys-guaranteed-income-experiments-home-buying-assistance/
https://www.minnpost.com/ , " Why Budget Day (days, really) was so much fun for Gov Tim Walz and how surplus spending will make Minnesota history", By Peter Callaghan and Walker Orenstein,"Jan 25/ 2023", News : State Government , body --> div --> main --> div --> div --> article --> header ,None ,None ,https://www.minnpost.com/state-government/2023/01/why-budget-day-days-really-was-so-much-fun-for-gov-tim-walz-and-how-surplus-spending-will-make-minnesota-history/
https://www.minnpost.com/ , "A guide to the Minnesota DFL’s 100% carbon-free standard",By Walker Orenstein ,"Jan 27/ 2023",News : Environment,body --> div --> main --> div --> div --> article --> header,None,None, https://www.minnpost.com/environment/2023/01/a-guide-to-the-minnesota-dfls-100-carbon-free-standard/
https://www.minnpost.com/ , " A primer on the marijuana legalization proposal that could become law in Minnesota",By Peter Callaghan,"Jan/ 17 2023",News : State Government,body --> div --> main --> div --> div --> article --> header,None ,None, https://www.minnpost.com/state-government/2023/01/a-primer-on-the-marijuana-legalization-proposal-that-could-become-law-in-minnesota/
https://www.minnpost.com/ , "In DFL-controlled Legislature, Twin Cities metro has more clout than Greater Minnesota" ,By Walker Orenstein,"Jan 5/ 2023",News: Greater Minnesota,body --> div --> main --> div --> div --> article --> header,None,None,https://www.minnpost.com/greater-minnesota/2023/01/in-dfl-controlled-legislature-twin-cities-metro-has-more-clout-than-greater-minnesota/
https://www.minnpost.com/ , "Digital Fair Repair Act helps Minnesotans end needless waste",By Abby Dougherty,"Feb 17/ 2023",Opinion : Community Voices, body --> div --> main --> div --> section --> article --> header ,None,https://www.minnpost.com/wp-content/uploads/2023/02/iPhone14AppleStoreThumb.png?fit=400%2C265&strip=all , https://www.minnpost.com/community-voices/2023/02/digital-fair-repair-act-helps-minnesotans-end-needless-waste/   
https://www.minnpost.com/ , "Chronic disinvestment by the state is eroding the U of M’s workforce",By Colleen Flaherty Manchester and Mark Bee,"Feb 17/ 2023",Opinion : Community Voices,body --> div --> main --> div --> section --> article --> header,None,https://www.minnpost.com/wp-content/uploads/2023/02/UofMMicrobiologyResearchThumb.png?fit=400%2C265&strip=all, https://www.minnpost.com/community-voices/2023/02/chronic-disinvestment-by-the-state-is-eroding-the-u-of-ms-workforce/
https://www.minnpost.com/ ,"My business travel was killing the environment and now I must atone",By Vasanti Mudkanna,"Feb 15/ 2023",Opinion : Community Voices,body --> div --> main --> div --> section --> article --> header,None, https://www.minnpost.com/wp-content/uploads/2023/02/DeltaSkyPriorityThumb.png?fit=400%2C265&strip=all ,https://www.minnpost.com/community-voices/2023/02/my-business-travel-was-killing-the-environment-and-now-i-must-atone/       
https://www.minnpost.com/ , "Exploring ‘North’ in sights, sounds and more in new installation at Red Wing’s Anderson Center",By Sheila Regan, "Feb 14/ 2023",Arts & Culture,body --> div --> main --> div --> div --> section --> div --> article --> header,None,None,https://www.minnpost.com/artscape/2023/02/exploring-north-in-sights-sounds-and-more-in-new-installation-at-red-wings-anderson-center/
